concept,x1,x2,x3,x4,x5,x6
true,2,3,2,3,4,4
true,4,1,4,5,3,1
true,6,2,1,1,2,6
true,4,3,6,2,2,1
true,4,4,1,4,1,4
true,5,5,2,2,3,1
true,3,5,2,2,1,5
true,2,5,4,1,3,3
true,2,5,3,3,2,3
true,2,1,1,5,4,5
true,1,2,1,6,4,4
true,4,1,2,5,3,3
true,1,5,3,2,5,2
true,5,4,2,1,4,2
true,1,6,1,6,1,3
true,1,4,5,1,4,3
true,6,1,5,2,3,1
true,5,1,1,1,5,5
true,2,3,3,2,2,6
true,2,5,4,1,4,2
true,1,4,6,4,1,2
true,1,2,5,2,3,5
true,3,4,3,2,3,3
true,2,2,1,4,3,6
true,5,4,2,1,2,4
true,2,6,4,2,3,1
true,2,4,4,2,5,1
true,1,2,5,4,2,4
true,1,4,1,4,2,6
true,5,4,3,4,1,1
true,2,1,6,2,4,3
true,3,1,3,2,4,5
true,3,2,4,6,1,2
true,1,2,1,5,5,4
true,4,5,1,1,4,3
true,1,1,5,4,2,5
true,1,5,1,5,4,2
true,6,2,2,4,3,1
true,4,1,5,3,2,3
true,6,2,2,5,2,1
true,5,1,6,4,1,1
true,1,3,4,3,5,2
true,5,1,5,1,1,5
true,5,3,5,1,1,3
true,4,5,1,3,2,3
true,5,2,2,4,1,4
true,1,3,4,3,5,2
true,4,1,4,3,5,1
true,2,6,1,6,2,1
true,2,3,2,3,4,4
true,1,2,4,4,4,3
true,3,1,5,2,5,2
true,1,2,5,2,6,2
true,1,5,5,1,1,5
true,1,4,3,3,3,4
true,5,4,5,1,2,1
true,1,2,4,4,6,1
true,1,1,1,4,5,6
true,3,3,2,6,1,3
true,2,5,2,5,1,3
true,6,1,1,3,3,4
true,2,6,3,1,1,5
true,3,5,1,4,1,4
true,4,2,5,5,1,1
true,1,3,2,6,2,4
true,2,4,2,1,4,5
true,2,1,5,4,1,5
true,3,1,4,4,2,4
true,2,5,2,5,1,3
true,3,4,1,5,4,1
true,1,5,4,1,2,5
true,1,4,3,4,4,2
true,5,2,4,4,1,2
true,1,5,3,2,3,4
true,5,1,6,1,2,3
true,2,1,4,4,5,2
true,2,1,6,3,3,3
true,4,2,3,6,2,1
true,2,4,4,1,5,2
true,3,1,3,5,2,4
true,1,1,2,6,6,2
true,3,6,3,1,2,3
true,1,5,2,2,3,5
true,4,1,1,5,4,3
true,2,2,5,1,6,2
true,4,1,6,1,3,3
true,1,2,2,4,4,5
true,4,5,2,3,2,2
true,2,2,6,3,4,1
true,5,1,2,1,3,6
true,5,6,3,1,2,1
true,1,1,4,2,5,5
true,4,5,2,1,5,1
true,5,2,1,2,3,5
true,5,5,1,3,2,2
true,3,1,4,2,2,6
true,1,6,3,1,3,4
true,4,4,4,1,1,4
true,5,4,2,1,4,2
true,2,1,4,3,3,5
true,2,5,3,2,2,4
true,2,1,5,6,1,3
true,2,3,3,2,4,4
true,1,5,6,3,2,1
true,3,6,1,4,1,3
true,2,3,1,4,4,4
true,4,6,3,2,2,1
true,5,1,1,6,4,1
true,1,2,6,2,5,2
true,5,3,2,1,2,5
true,1,5,6,2,1,3
true,3,1,4,5,3,2
true,1,6,1,6,1,3
true,6,3,1,4,3,1
true,4,6,3,1,1,3
true,4,4,1,6,2,1
true,4,4,3,1,2,4
true,4,5,1,3,4,1
true,1,4,3,1,3,6
true,3,3,6,1,1,4
true,6,5,1,2,3,1
true,3,1,5,2,6,1
true,6,2,1,4,2,3
true,1,6,3,5,1,2
true,2,4,5,1,2,4
true,3,6,3,2,3,1
true,1,3,4,5,2,3
true,1,3,4,5,1,4
true,2,5,3,1,4,3
true,3,2,2,4,1,6
true,5,5,1,1,5,1
true,2,3,6,2,3,2
true,4,1,2,3,6,2
true,1,6,4,2,2,3
true,4,1,3,4,4,2
true,4,3,3,6,1,1
true,1,1,5,2,6,3
true,3,6,2,1,1,5
true,4,1,4,4,3,2
true,3,1,6,6,1,1
true,1,2,1,5,6,3
true,1,6,2,4,2,3
true,2,3,2,3,4,4
true,1,5,5,2,1,4
true,4,3,2,2,3,4
true,6,4,2,1,2,3
true,3,5,3,2,1,4
true,6,2,3,2,4,1
true,3,5,1,1,3,5
true,3,5,2,1,6,1
true,4,2,3,1,2,6
true,4,3,1,3,4,3
true,5,1,5,1,3,3
true,3,2,4,6,2,1
true,1,2,1,4,6,4
true,5,3,4,3,2,1
true,2,2,2,5,6,1
true,3,1,3,5,1,5
true,3,3,1,3,5,3
true,6,1,2,2,5,2
true,2,3,4,2,4,3
true,5,2,5,3,2,1
true,1,5,3,4,1,4
true,3,1,5,6,1,2
true,2,3,4,1,4,4
true,1,5,5,2,4,1
true,2,1,3,3,5,4
true,3,1,2,4,5,3
true,3,2,3,2,3,5
true,1,5,2,5,4,1
true,2,6,3,1,1,5
true,1,2,2,4,5,4
true,5,1,2,2,4,4
true,1,2,5,6,1,3
true,1,6,1,3,3,4
true,2,2,2,3,3,6
true,2,4,4,4,2,2
true,3,3,1,2,4,5
true,5,6,2,1,3,1
true,1,5,2,4,5,1
true,2,3,5,3,2,3
true,6,1,2,1,2,6
true,2,3,3,2,5,3
true,3,3,6,2,3,1
true,5,2,4,1,2,4
true,3,1,6,4,3,1
true,5,1,6,1,3,2
true,1,5,4,6,1,1
true,2,1,3,4,6,2
true,2,4,2,5,4,1
true,1,1,6,6,2,2
true,2,3,1,3,3,6
true,1,1,6,5,1,4
true,1,6,1,4,2,4
true,4,1,1,3,4,5
true,2,1,3,3,6,3
true,1,4,2,6,4,1
true,4,3,5,3,1,2
true,2,3,6,2,2,3
true,6,2,5,1,3,1
true,1,2,1,4,4,6
true,2,2,2,6,2,4
true,3,1,5,6,1,2
true,1,5,2,3,5,2
true,6,2,5,1,1,3
true,4,1,5,2,2,4
true,3,4,2,1,3,5
true,3,3,1,2,4,5
true,6,4,1,3,2,2
true,3,3,3,6,1,2
true,2,2,1,4,4,5
true,5,1,1,1,6,4
true,1,6,6,2,2,1
true,4,1,2,6,2,3
true,1,2,5,3,1,6
true,3,6,2,1,3,3
true,5,2,2,2,4,3
true,5,1,6,1,3,2
true,3,6,1,3,1,4
true,3,1,5,2,3,4
true,1,5,2,2,2,6
true,4,3,3,1,4,3
true,3,1,3,3,6,2
true,2,2,1,5,5,3
true,4,2,2,4,5,1
true,1,3,1,4,4,5
true,5,4,2,3,3,1
true,3,6,2,3,1,3
true,2,1,3,4,3,5
true,6,4,1,1,5,1
true,2,1,2,2,6,5
true,3,4,5,2,2,2
true,5,3,1,3,3,3
true,1,6,2,4,4,1
true,3,1,1,6,2,5
true,3,3,6,3,1,2
true,2,5,6,2,2,1
true,2,2,4,5,3,2
true,1,5,2,2,6,2
true,6,4,3,1,1,3
true,3,4,5,2,3,1
true,1,6,5,3,1,2
true,2,5,3,2,4,2
true,4,2,1,4,3,4
true,6,5,2,3,1,1
true,1,5,1,3,5,3
true,4,4,2,1,3,4
true,4,1,5,1,4,3
true,2,1,5,4,3,3
true,4,3,5,1,2,3
true,4,1,6,1,4,2
true,1,3,6,2,5,1
true,6,1,5,1,1,4
true,5,1,5,1,2,4
true,3,3,3,1,6,2
true,1,6,3,1,4,3
true,4,6,4,1,1,2
true,6,3,1,2,2,4
true,2,5,3,1,6,1
true,3,4,1,2,3,5
true,2,2,5,4,2,3
true,4,4,2,2,1,5
true,1,6,1,3,5,2
true,6,3,1,6,1,1
true,1,2,6,2,6,1
true,4,1,1,6,4,2
true,1,3,3,4,5,2
true,4,1,1,6,3,3
true,2,3,4,4,4,1
true,6,2,1,3,2,4
true,5,3,2,1,1,6
true,1,2,3,5,1,6
true,6,1,4,2,4,1
true,2,3,2,1,4,6
true,1,2,3,5,5,2
true,3,3,4,6,1,1
true,1,4,3,5,3,2
true,3,3,2,3,3,4
true,3,1,1,6,4,3
true,1,3,5,1,2,6
true,3,2,4,1,6,2
true,2,6,2,2,2,4
true,1,3,2,5,1,6
true,4,3,2,3,5,1
true,5,3,2,2,2,4
true,6,1,3,1,1,6
true,6,2,1,2,4,3
true,1,5,3,4,1,4
true,3,3,4,1,4,3
true,5,3,1,1,4,4
true,5,1,2,4,2,4
true,3,6,1,2,2,4
true,4,2,3,3,4,2
true,5,1,2,1,3,6
true,4,4,3,3,3,1
true,4,1,1,1,6,5
true,2,4,2,5,1,4
true,6,2,1,6,1,2
true,3,3,3,6,2,1
true,3,2,3,5,4,1
true,5,3,4,3,2,1
true,4,4,2,5,1,2
true,4,3,1,1,5,4
true,2,5,2,4,3,2
true,2,6,1,5,1,3
true,4,1,5,4,3,1
true,2,4,6,2,3,1
true,3,5,4,1,1,4
true,4,4,1,2,3,4
true,3,3,4,1,5,2
true,1,4,2,2,6,3
true,4,3,1,5,3,2
true,4,2,6,3,2,1
true,5,2,2,1,4,4
true,4,4,1,6,1,2
true,1,1,3,3,4,6
true,5,3,2,2,1,5
true,2,4,2,5,3,2
true,5,3,1,4,3,2
true,4,5,1,2,3,3
true,3,3,2,2,5,3
true,2,4,1,4,1,6
true,6,1,2,3,1,5
true,4,2,3,4,4,1
true,1,2,4,4,6,1
true,4,1,6,2,3,2
true,2,4,6,1,3,2
true,3,2,2,3,2,6
true,1,1,6,6,2,2
true,3,2,2,5,1,5
true,1,6,1,3,3,4
true,2,4,1,5,4,2
true,3,3,2,2,6,2
true,1,4,6,1,5,1
true,5,6,1,2,2,2
true,3,1,4,3,4,3
true,4,4,2,1,4,3
true,1,2,4,4,3,4
true,2,6,5,3,1,1
true,3,3,1,2,3,6
true,3,3,1,3,6,2
true,3,3,5,3,2,2
true,3,3,4,1,6,1
true,3,5,4,2,1,3
true,6,3,2,3,3,1
true,1,1,4,4,6,2
true,4,2,5,4,2,1
true,2,3,2,5,1,5
true,4,3,6,1,3,1
true,2,4,5,3,3,1
true,2,2,6,1,4,3
true,1,4,1,6,5,1
true,5,1,2,3,4,3
true,1,6,4,2,2,3
true,2,2,2,4,6,2
true,4,1,1,3,5,4
true,2,5,2,1,5,3
true,2,5,1,1,4,5
true,1,5,1,2,6,3
true,1,2,6,2,4,3
true,6,1,4,1,2,4
true,3,2,4,1,4,4
true,2,3,4,5,1,3
true,5,3,1,4,1,4
true,3,3,3,3,3,3
true,3,1,2,3,4,5
true,4,1,4,1,2,6
true,5,2,4,4,2,1
true,6,2,1,2,3,4
true,1,1,4,3,5,4
true,5,2,2,2,1,6
true,2,4,6,3,1,2
true,4,6,1,3,3,1
true,2,2,6,3,3,2
true,6,2,1,3,2,4
true,6,2,1,2,1,6
true,2,4,2,5,4,1
true,3,2,4,2,6,1
true,1,3,1,6,2,5
true,2,4,3,5,1,3
true,2,5,1,2,6,2
true,3,2,5,3,3,2
true,1,6,4,1,2,4
true,3,1,5,2,5,2
true,4,3,1,6,2,2
true,3,1,5,2,6,1
true,6,3,2,1,5,1
true,5,1,6,2,3,1
true,2,1,4,4,1,6
true,6,3,2,1,3,3
true,3,3,3,5,1,3
true,4,2,3,4,4,1
true,6,1,1,2,6,2
true,3,1,5,2,5,2
true,2,3,1,5,1,6
true,1,5,3,2,4,3
true,1,1,6,4,2,4
true,1,3,3,6,2,3
true,2,1,5,2,4,4
true,6,2,4,1,3,2
true,2,4,4,3,1,4
true,2,1,5,3,6,1
true,6,3,1,2,4,2
true,1,5,3,4,1,4
true,2,4,6,1,3,2
true,3,3,1,2,4,5
true,2,2,1,5,3,5
true,5,4,1,4,3,1
true,1,3,4,2,6,2
true,1,3,5,5,1,3
true,3,1,4,2,6,2
true,1,6,4,1,5,1
true,3,6,3,1,1,4
true,2,6,2,4,1,3
true,1,5,5,3,3,1
true,5,3,1,4,2,3
true,1,1,2,3,6,5
true,1,1,1,6,4,5
true,5,3,6,1,1,2
true,1,3,5,2,4,3
true,1,5,5,2,4,1
true,2,2,1,4,6,3
true,4,3,4,1,1,5
true,1,6,6,1,2,2
true,4,1,3,1,5,4
true,1,5,3,3,1,5
true,3,3,4,5,1,2
true,4,1,6,2,1,4
true,4,1,2,5,4,2
true,2,3,2,4,5,2
true,5,2,2,4,3,2
true,1,2,3,1,5,6
true,5,2,1,2,5,3
true,2,1,6,3,4,2
true,3,5,2,2,4,2
true,2,3,6,3,3,1
true,1,3,2,5,4,3
true,3,3,4,5,1,2
true,1,4,4,2,2,5
true,2,2,2,4,2,6
true,4,3,6,2,1,2
true,2,3,2,2,5,4
true,4,2,1,6,4,1
true,4,2,6,1,4,1
true,5,3,1,2,5,2
true,4,1,2,5,2,4
true,3,6,2,1,5,1
true,2,1,5,1,3,6
true,3,5,2,1,2,5
true,2,1,2,4,6,3
true,2,6,2,6,1,1
true,2,5,1,3,3,4
true,4,3,1,2,6,2
true,1,1,6,3,2,5
true,1,2,3,4,6,2
true,4,4,1,3,5,1
true,6,3,2,1,4,2
true,1,4,4,1,6,2
true,3,5,1,3,5,1
true,4,3,1,5,4,1
true,3,3,4,3,1,4
true,2,2,2,4,3,5
true,2,4,1,5,3,3
true,2,2,6,2,4,2
true,3,3,3,4,2,3
true,3,1,1,1,6,6
true,1,2,4,3,3,5
true,6,1,3,2,5,1
true,2,4,5,2,3,2
true,1,6,3,2,3,3
true,4,1,4,5,2,2
true,4,2,3,1,2,6
true,1,2,4,2,6,3
true,3,4,2,4,3,2
true,3,4,3,1,5,2
true,2,2,1,3,4,6
true,5,3,3,2,2,3
true,4,4,6,2,1,1
true,6,1,5,1,3,2
true,3,1,4,3,2,5
true,2,2,6,2,4,2
true,2,4,4,2,2,4
true,6,5,1,3,1,2
true,5,3,1,5,2,2
true,4,5,1,1,6,1
true,3,5,5,3,1,1
true,2,2,6,1,5,2
true,1,2,2,5,2,6
true,2,4,5,2,1,4
true,6,4,2,1,1,4
true,2,2,5,5,3,1
true,2,2,3,2,5,4
true,1,5,2,4,5,1
true,1,4,3,2,2,6
true,3,4,2,4,2,3
true,6,2,1,2,5,2
true,3,3,2,3,6,1
true,4,1,3,5,2,3
true,3,6,4,3,1,1
true,1,6,1,1,3,6
true,2,1,3,1,6,5
true,4,1,3,2,4,4
true,1,1,1,6,5,4
true,1,4,5,6,1,1
true,5,2,1,2,6,2
true,4,2,4,4,2,2
true,2,4,1,2,3,6
true,5,1,5,3,2,2
true,6,3,3,1,3,2
true,4,1,6,1,2,4
true,4,4,1,1,4,4
true,2,5,1,4,4,2
true,3,4,4,2,4,1
true,3,2,3,3,2,5
true,2,3,2,5,3,3
true,1,3,4,2,3,5
true,1,5,3,2,2,5
true,5,3,2,5,1,2
true,3,6,1,3,3,2
true,3,3,3,3,3,3
true,5,1,1,6,4,1
true,3,2,4,5,3,1
true,4,5,3,4,1,1
true,1,3,4,2,6,2
true,4,1,3,6,2,2
true,2,3,1,2,4,6
true,5,2,1,2,6,2
true,1,5,3,2,6,1
true,4,1,6,4,1,2
true,6,4,1,1,3,3
true,1,2,2,4,4,5
true,1,5,4,1,1,6
true,2,5,6,1,3,1
true,4,1,3,3,1,6
true,2,5,2,6,2,1
true,2,1,6,1,4,4
true,2,1,1,5,5,4
true,4,3,6,1,2,2
true,4,4,5,2,2,1
true,6,2,2,1,5,2
true,3,3,1,2,3,6
true,5,1,2,1,6,3
true,2,1,1,2,6,6
true,4,2,1,2,4,5
true,5,4,1,1,5,2
true,1,5,3,2,3,4
true,6,2,1,2,4,3
true,4,1,2,2,4,5
true,2,4,2,3,1,6
true,4,1,3,6,1,3
true,2,2,1,5,3,5
true,3,3,3,4,1,4
true,1,6,2,2,4,3
true,4,2,1,2,3,6
true,5,1,5,1,5,1
true,2,4,4,1,6,1
true,3,6,2,2,1,4
true,4,1,4,1,3,5
true,2,1,2,3,5,5
true,4,3,4,1,3,3
true,1,5,1,1,4,6
true,2,1,3,4,5,3
true,2,4,5,3,3,1
true,5,1,4,1,1,6
true,2,5,2,3,2,4
true,1,5,6,1,2,3
true,1,3,6,1,2,5
true,1,5,6,3,1,2
true,1,1,3,3,5,5
true,4,3,2,6,1,2
true,1,4,5,2,4,2
true,1,2,6,6,2,1
true,4,5,1,1,1,6
true,3,5,2,1,1,6
true,4,3,1,3,5,2
true,1,6,4,4,2,1
true,4,2,2,4,1,5
true,1,3,3,3,4,4
true,1,5,1,1,6,4
true,4,2,3,3,2,4
true,4,1,5,5,1,2
true,4,4,2,2,5,1
true,6,2,2,1,6,1
true,1,4,2,1,5,5
true,4,4,1,3,5,1
true,5,5,2,1,2,3
true,6,1,2,5,3,1
true,5,1,2,3,2,5
true,2,1,3,2,6,4
true,1,6,1,1,3,6
true,1,2,4,6,2,3
true,1,4,6,2,3,2
true,1,1,4,4,3,5
true,2,4,2,1,5,4
true,1,2,5,1,3,6
true,4,3,1,4,4,2
true,3,1,5,1,5,3
true,2,5,5,1,1,4
true,3,5,1,1,2,6
true,4,1,4,4,4,1
true,3,4,1,5,3,2
true,3,4,1,5,4,1
true,2,1,6,6,1,2
true,4,2,4,2,3,3
true,1,2,5,2,6,2
true,5,1,3,1,4,4
true,4,6,4,1,1,2
true,3,1,3,4,2,5
true,2,5,1,6,3,1
true,2,1,4,4,5,2
true,3,3,4,3,1,4
true,5,1,2,6,2,2
true,1,3,3,4,1,6
true,3,4,2,2,6,1
true,5,1,5,1,1,5
true,3,4,3,1,1,6
true,5,3,6,1,1,2
true,4,1,5,2,3,3
true,1,6,3,2,2,4
true,5,3,1,3,4,2
true,2,1,5,4,3,3
true,3,2,1,5,1,6
true,6,5,1,4,1,1
true,4,5,3,1,4,1
true,1,2,4,6,1,4
true,3,1,2,5,4,3
true,2,2,6,2,4,2
true,5,3,3,3,3,1
true,3,2,3,3,5,2
true,6,3,1,6,1,1
true,3,4,4,2,2,3
true,3,1,4,1,3,6
true,5,3,3,1,4,2
true,2,5,4,3,1,3
true,2,4,1,5,1,5
true,6,2,6,1,1,2
true,3,5,2,3,4,1
true,6,2,3,2,3,2
true,6,1,2,3,5,1
true,2,1,5,4,2,4
true,1,4,4,5,2,2
true,5,2,5,2,1,3
true,5,5,1,2,2,3
true,1,1,4,4,3,5
true,4,3,4,1,3,3
true,5,1,2,1,6,3
true,6,1,1,2,2,6
true,2,2,1,1,6,6
true,1,4,6,1,5,1
true,3,4,1,1,4,5
true,3,4,3,1,1,6
true,3,2,3,6,1,3
true,5,1,4,1,5,2
true,1,3,1,4,4,5
true,4,2,1,1,5,5
true,4,4,1,4,4,1
true,1,3,1,6,6,1
true,5,3,4,2,2,2
true,2,4,4,2,5,1
true,6,1,5,1,1,4
true,5,5,1,1,3,3
true,2,1,3,3,4,5
true,1,4,6,3,3,1
true,2,1,1,5,4,5
true,2,1,6,3,1,5
true,1,4,1,2,5,5
true,5,1,2,1,5,4
true,2,3,5,2,3,3
true,3,2,6,5,1,1
true,3,5,5,1,3,1
true,4,1,4,3,4,2
true,3,5,6,1,1,2
true,5,4,1,2,3,3
true,1,4,1,3,6,3
true,2,2,1,4,5,4
true,6,3,2,2,3,2
true,4,3,3,5,1,2
true,3,2,2,4,3,4
true,2,6,3,1,5,1
true,4,1,3,3,6,1
true,1,2,1,4,6,4
true,5,1,3,2,1,6
true,2,3,5,1,2,5
true,1,2,2,3,6,4
true,3,4,5,2,1,3
